,0,1
0,Human : ,Hello
1,Bot : ,Hi I am doing great
2,Human : ,How are you
3,Bot : ,"I am doing good, How are you"
4,Human : ,Good
5,Bot : ,Thats great to hear
6,Human : ,Can you recommend
7,Bot : ,"I DONT UNDERSTAND WHAT YOU SAY, PLEASE TRY AGAIN !"
8,Human : ,can you recommend me some good eateries in bits hyderabad
9,Bot : ,DO YOU WANT TO KNOW SOME
10,Human : ,No
11,Bot : ,WHY IS THAT
12,Human : ,I am not hungry
13,Bot : ,ARE YOU TELLING YOU ARE NOT HUNGRY
14,Human : ,yes
15,Bot : ,OK GOODBYE FOR TODAY
16,Human : ,can you recommend me some good eateries in bits hyderabad
17,Bot : ,DO YOU WANT TO KNOW SOME
18,Human : ,Bye
